team_name,free_throw_percentage,three_pointers,rebounds,assists,steals,blocks,points,score
Ball Don't Lie,.8049,74,190,177,36,12,682,4-3-0
Jesus Shuttlesworth,.8049,74,190,177,36,12,682,3-4-0
Team DollaDolla Beal,.8049,74,190,177,36,12,682,2-5-0
Trust the Process,.8049,74,190,177,36,12,682,5-2-0
Kawhi So Serious?,.8049,74,190,177,36,12,682,3-4-0
Team Leeds,.8049,74,190,177,36,12,682,4-3-0
Durant Jemima,.8049,74,190,177,36,12,682,4-3-0
Boogiee  On Em,.8049,74,190,177,36,12,682,3-4-0
Team Weiss,.8049,74,190,177,36,12,682,3-4-0
Shake N' Blake,.8049,74,190,177,36,12,682,4-3-0
