player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Karl-Anthony Towns,Min,C,"",AUST,35.3,4.2,4.9,.855,1.5,12.2,2.4,0.8,1.5,20.7
Russell Westbrook,OKC,PG,"",FERA,36.2,5.2,7.0,.737,1.2,9.7,10.2,1.8,0.2,25.4
LeBron James,Cle,SF,"",BCOH,37.1,4.6,6.3,.726,1.8,8.6,9.1,1.5,1.0,27.5
Anthony Davis,Nor,PF,"",LEED,36.4,6.5,7.8,.832,0.8,11.1,2.3,1.5,2.4,28.2
James Harden,Hou,SG,DTD,SANF,35.5,8.7,10.1,.864,3.8,5.4,8.7,1.8,0.7,30.7
Giannis Antetokounmpo,Mil,SF,"",BOYD,36.9,6.7,8.8,.762,0.6,10.0,4.8,1.5,1.4,27.3
Damian Lillard,Por,PG,"",JLEE,36.5,6.7,7.3,.917,3.1,4.4,6.5,1.0,0.4,26.6
Paul George,OKC,SF,"",LEED,36.5,4.1,5.0,.816,3.0,5.6,3.4,2.0,0.5,21.6
DeMar DeRozan,Tor,SG,"",WEIS,34.1,6.0,7.2,.824,1.1,3.9,5.1,1.1,0.2,23.4
Bradley Beal,Wsh,SG,"",STIP,36.5,3.6,4.6,.789,2.5,4.4,4.6,1.2,0.5,23.1
Joel Embiid,Phi,C,"",JLEE,30.7,5.8,7.5,.770,1.1,11.1,3.2,0.6,1.8,23.2
Kemba Walker,Cha,PG,"",JCOH,34.8,4.7,5.5,.860,3.0,3.2,5.7,1.2,0.3,23.1
Nikola Jokic,Den,PF,"",BOYD,31.7,3.6,4.2,.848,1.4,10.4,5.9,1.1,0.8,17.6
Chris Paul*,Hou,PG,O,WEIS,31.9,3.7,4.0,.916,2.5,5.6,7.9,1.7,0.3,18.8
CJ McCollum,Por,PG,"",STIP,36.0,2.6,3.1,.839,2.4,3.9,3.2,0.9,0.4,21.8
Draymond Green,GS,SF,DTD,JCOH,32.9,1.9,2.5,.768,1.1,7.9,7.3,1.4,1.4,11.3
Kyle Lowry,Tor,PG,"",AUST,32.3,3.1,3.6,.859,3.1,5.6,6.8,1.1,0.2,16.7
Blake Griffin,Det,PF,"",SANF,34.0,4.5,5.7,.785,1.9,7.4,5.8,0.7,0.3,21.4
Kevin Durant*,GS,SF,O,JCOH,34.7,5.2,5.9,.887,2.6,6.8,5.4,0.8,1.9,26.6
Marc Gasol,Mem,C,"",WEIS,33.7,4.1,4.9,.835,1.4,8.4,4.2,0.7,1.5,17.6
Ben Simmons,Phi,PF,"",WEIS,34.2,2.4,4.3,.570,0.0,8.0,8.0,1.7,0.8,15.8
Khris Middleton,Mil,SF,"",FERA,36.5,3.8,4.3,.879,1.8,5.2,4.0,1.4,0.2,20.1
LaMarcus Aldridge,SA,PF,"",WEIS,33.5,4.5,5.4,.835,0.4,8.4,2.1,0.5,1.2,23.2
DeAndre Jordan,LAC,C,"",BCOH,32.1,2.5,4.0,.612,0.0,15.4,1.5,0.6,1.0,12.3
Andre Drummond,Det,C,"",WEIS,33.4,3.1,5.0,.613,0.0,15.9,3.1,1.5,1.7,14.8
Devin Booker*,Pho,SG,O,BOYD,34.5,5.4,6.1,.878,2.7,4.5,4.7,0.9,0.3,24.9
Kevin Love,Cle,PF,"",AUST,28.1,4.1,4.6,.887,2.3,9.4,1.8,0.7,0.4,18.0
Victor Oladipo,Ind,SG,"",LEED,34.3,4.1,5.0,.808,2.1,5.3,4.1,2.3,0.8,23.2
Otto Porter Jr.,Wsh,SF,"",FERA,32.1,1.4,1.8,.826,1.7,6.6,2.1,1.6,0.5,14.8
Al Horford,Bos,C,"",BOYD,31.6,1.1,1.5,.750,1.4,7.4,4.9,0.6,1.1,12.8
Andrew Wiggins,Min,SG,"",FERA,36.2,2.6,4.0,.645,1.4,4.3,1.8,1.1,0.6,18.1
Rudy Gobert,Utah,C,"",BCOH,32.6,3.8,5.5,.702,0.0,10.8,1.4,0.8,2.4,14.0
Carmelo Anthony,OKC,SF,"",SANF,32.2,1.9,2.5,.764,2.1,5.8,1.3,0.6,0.6,16.3
Myles Turner,Ind,PF,"",FERA,28.7,2.6,3.4,.774,0.9,6.8,1.4,0.6,1.9,13.5
Jrue Holiday,Nor,PG,"",SANF,36.3,2.3,3.0,.781,1.5,4.4,5.8,1.4,0.8,19.0
Eric Bledsoe,Mil,PG,"",AUST,31.2,3.5,4.4,.781,1.6,3.8,4.8,2.0,0.6,17.3
Clint Capela,Hou,C,DTD,WEIS,27.4,2.0,3.5,.556,0.0,11.0,0.9,0.8,1.9,14.1
Dwight Howard,Cha,C,"",LEED,30.6,4.1,7.2,.571,0.0,12.4,1.3,0.6,1.6,16.7
Klay Thompson*,GS,SG,O,LEED,34.4,1.2,1.4,.835,3.1,3.8,2.7,0.7,0.5,19.7
Dennis Schroder,Atl,PG,DTD,AUST,31.0,3.4,4.0,.849,1.1,3.1,6.2,1.1,0.1,19.4
Hassan Whiteside*,Mia,PF,O,STIP,25.9,2.5,3.6,.690,0.0,11.8,1.0,0.7,1.7,14.3
Tobias Harris,LAC,PF,"",JCOH,33.4,2.3,2.7,.839,2.3,5.5,2.3,0.9,0.5,18.5
Nikola Vucevic,Orl,C,"",LEED,30.1,1.3,1.6,.805,1.3,8.9,3.3,1.0,1.1,17.1
Goran Dragic,Mia,PG,"",JCOH,31.8,3.0,3.8,.800,1.5,4.0,4.9,0.8,0.2,17.5
Jeff Teague,Min,PG,"",SANF,33.1,2.8,3.4,.837,1.2,3.0,7.1,1.5,0.3,13.9
Harrison Barnes,Dal,SF,"",FERA,34.3,3.4,4.1,.826,1.5,6.3,2.0,0.7,0.2,18.8
Donovan Mitchell,Utah,SG,"",LEED,33.3,2.9,3.5,.821,2.4,3.7,3.6,1.5,0.4,20.3
Stephen Curry*,GS,PG,O,JCOH,32.0,5.5,5.9,.921,4.2,5.1,6.1,1.6,0.2,26.4
Lou Williams,LAC,PG,"",JLEE,32.8,5.5,6.3,.880,2.5,2.5,5.5,1.1,0.3,22.9
Aaron Gordon,Orl,PF,"",LEED,33.6,2.9,4.2,.702,2.0,8.5,2.4,1.0,0.8,18.3
Jusuf Nurkic,Por,C,"","",26.1,2.3,3.6,.640,0.0,8.7,1.8,0.8,1.3,14.2
Kyrie Irving*,Bos,PG,O,BCOH,32.2,3.9,4.4,.889,2.8,3.8,5.1,1.1,0.3,24.4
John Wall*,Wsh,PG,O,BOYD,34.3,4.3,6.0,.719,1.4,3.6,9.3,1.3,1.1,19.4
Lonzo Ball,LAL,PG,"",BOYD,34.4,0.6,1.4,.449,1.7,7.0,7.3,1.7,0.8,10.2
Steven Adams,OKC,C,"",STIP,32.6,2.1,3.7,.574,0.0,9.0,1.1,1.2,1.1,14.1
Enes Kanter,NY,C,"",JCOH,25.7,2.1,2.5,.851,0.0,10.9,1.5,0.5,0.5,14.0
Julius Randle,LAL,PF,"",BCOH,26.6,3.5,5.0,.706,0.1,8.0,2.5,0.5,0.6,16.2
Jayson Tatum,Bos,SF,"",LEED,30.6,2.6,3.2,.822,1.3,5.1,1.5,0.9,0.7,13.7
D'Angelo Russell,Bkn,PG,"",SANF,26.0,2.3,3.1,.742,1.8,4.0,5.0,0.7,0.4,16.1
Paul Millsap,Den,PF,"",BCOH,28.9,2.8,4.0,.702,1.0,6.2,2.8,1.2,1.1,13.9
Jonas Valanciunas,Tor,C,"",FERA,22.5,2.3,2.8,.807,0.4,8.6,1.1,0.4,0.9,12.7
Dario Saric,Phi,SF,"",STIP,30.1,2.4,2.8,.864,2.1,6.8,2.6,0.7,0.3,14.9
Kyle Kuzma,LAL,PF,DTD,LEED,30.7,1.9,2.6,.719,2.0,6.3,1.8,0.6,0.5,15.9
Will Barton,Den,SG,"",FERA,32.6,2.2,2.7,.805,1.9,4.9,4.1,1.1,0.7,15.2
Ricky Rubio,Utah,PG,"",JLEE,29.8,2.8,3.3,.857,1.2,4.5,5.4,1.6,0.1,12.7
Robert Covington,Phi,PF,"",JLEE,31.8,1.5,1.8,.849,2.6,5.4,1.9,1.5,0.8,12.7
Tyreke Evans*,Mem,SF,O,WEIS,30.9,3.2,4.0,.785,2.2,5.1,5.2,1.1,0.3,19.4
Jamal Murray,Den,SG,"",JLEE,30.9,2.8,3.1,.906,2.1,3.7,3.2,1.0,0.3,16.6
Eric Gordon,Hou,SG,"",LEED,31.5,2.9,3.6,.816,3.1,2.5,2.3,0.6,0.4,18.1
Kawhi Leonard*,SA,SF,O,JLEE,23.3,3.4,4.2,.816,1.2,4.7,2.3,2.0,1.0,16.2
Pau Gasol,SA,PF,"",FERA,24.0,2.1,2.8,.764,0.6,8.1,3.2,0.3,1.1,10.5
Isaiah Thomas,LAL,PG,DTD,BOYD,26.9,3.7,4.1,.893,1.7,2.1,4.8,0.5,0.1,15.2
Brook Lopez,LAL,C,DTD,JCOH,23.3,1.4,2.1,.676,1.5,4.0,1.7,0.4,1.4,13.0
Serge Ibaka,Tor,PF,"",STIP,27.4,1.3,1.6,.811,1.4,6.2,0.8,0.4,1.2,12.5
Jimmy Butler*,Min,SG,O,"",37.1,6.1,7.0,.865,1.2,5.4,5.0,1.9,0.4,22.2
Taj Gibson,Min,PF,"","",33.6,1.8,2.3,.767,0.1,7.1,1.2,0.8,0.7,12.4
Tim Hardaway Jr.,NY,SG,"",LEED,33.1,2.6,3.2,.824,2.3,3.9,2.7,1.1,0.2,17.7
Elfrid Payton,Pho,PG,"",WEIS,28.7,1.7,2.7,.649,0.5,4.3,6.2,1.3,0.3,12.7
Derrick Favors,Utah,PF,"","",27.9,1.9,2.9,.665,0.2,7.2,1.4,0.8,1.0,12.2
Rondae Hollis-Jefferson,Bkn,SF,"",JLEE,28.2,3.8,4.8,.783,0.2,6.7,2.4,0.9,0.7,14.5
TJ Warren*,Pho,SF,O,JCOH,33.0,3.0,3.9,.757,0.3,5.1,1.3,1.0,0.6,19.6
Joe Ingles,Utah,PF,"",JLEE,31.5,0.8,1.0,.824,2.6,4.2,4.5,1.1,0.2,11.5
Thaddeus Young,Ind,SF,"",BCOH,32.5,0.6,1.1,.608,0.8,6.2,1.9,1.7,0.5,11.8
Darren Collison,Ind,PG,"",WEIS,29.8,1.9,2.2,.874,1.4,2.6,5.4,1.4,0.2,12.7
Kentavious Caldwell-Pope,LAL,SG,"",JCOH,34.0,2.0,2.6,.772,2.3,5.4,2.2,1.5,0.2,13.8
Jaylen Brown,Bos,PF,"","",30.7,2.0,3.2,.642,1.6,5.2,1.6,1.0,0.4,14.1
Brandon Ingram*,LAL,PF,O,BOYD,33.8,3.3,4.8,.689,0.7,5.4,3.9,0.8,0.8,16.2
James Johnson,Mia,SF,"",AUST,26.4,1.5,2.2,.683,0.8,4.8,3.8,1.0,0.6,10.7
Dennis Smith Jr.,Dal,PG,"",JLEE,29.7,2.0,2.9,.700,1.5,3.8,4.9,1.0,0.3,15.1
Spencer Dinwiddie,Bkn,PG,"",JCOH,29.0,2.8,3.4,.821,1.7,3.3,6.6,0.9,0.3,12.8
Terry Rozier,Bos,PG,"",BCOH,25.5,1.4,1.9,.770,1.9,4.6,2.7,1.0,0.2,11.3
Nikola Mirotic,Nor,PF,"","",26.7,2.1,2.7,.802,2.4,7.0,1.5,0.8,0.7,15.0
