player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
DeMarcus Cousins,Sac,C,"",SANF,41,16,17,.941,5,14,1,1,3,55
Isaiah Thomas,Bos,PG,"",LEED,38,17,17,1.000,7,3,6,2,1,44
C.J. McCollum,Por,PG,"",STIP,39,8,10,.800,2,2,4,0,1,36
Carmelo Anthony,NY,SF,"",WEIS,37,2,2,1.000,7,4,4,2,0,35
LeBron James,Cle,SF,"",WEIS,47,5,6,.833,5,12,7,1,1,34
Hassan Whiteside,Mia,PF,"",BCOH,47,4,6,.667,0,15,0,1,5,32
Tyler Johnson,Mia,SG,"",STIP,38,3,5,.600,3,5,3,3,0,32
James Harden,Hou,SG,"",WEIS,37,10,10,1.000,1,10,7,1,0,31
Anthony Davis,Nor,PF,DTD,JLEE,35,7,10,.700,0,16,2,0,2,31
Jabari Parker,Mil,SF,"",LEED,46,4,7,.571,0,9,3,0,0,30
Kyrie Irving,Cle,PG,"",FERA,45,9,9,1.000,3,5,5,0,0,28
Kemba Walker,Cha,PG,"",JCOH,41,2,2,1.000,4,8,10,0,0,28
J.J. Redick,LAC,SG,"",JCOH,26,0,0,.000,7,3,2,1,0,27
Mason Plumlee,Por,PF,"",BCOH,36,7,11,.636,0,13,5,1,2,27
Nikola Vucevic,Orl,C,"",JCOH,40,3,5,.600,1,12,3,0,2,26
Evan Fournier,Orl,SG,"",LEED,44,1,2,.500,3,5,4,0,0,26
Stephen Curry,GS,PG,"",BOYD,30,5,5,1.000,4,3,4,3,0,25
Giannis Antetokounmpo,Mil,SF,DTD,STIP,44,13,15,.867,2,13,2,2,3,25
Jordan Clarkson,LAL,PG,"",SANF,31,0,0,.000,7,3,5,1,1,25
Nick Young,LAL,SG,"",AUST,27,1,1,1.000,5,2,0,0,0,24
Marc Gasol,Mem,C,"",BCOH,37,5,5,1.000,3,7,6,1,0,24
Derrick Rose,NY,PG,DTD,SANF,36,6,7,.857,0,4,6,0,2,24
Damian Lillard,Por,PG,"",AUST,39,11,12,.917,1,4,16,0,0,24
Troy Daniels,Mem,SG,"","",35,4,4,1.000,4,2,0,1,0,24
Kyle Lowry,Tor,PG,"",SANF,34,4,5,.800,3,4,8,3,1,23
Nicolas Batum*,Cha,SF,O,JCOH,37,5,5,1.000,2,5,10,1,0,23
Kevin Durant,GS,SF,"",FERA,25,6,6,1.000,0,5,1,0,0,22
Will Barton,Den,SG,"",SANF,32,2,3,.667,2,5,2,2,0,22
Elfrid Payton,Orl,PG,"",FERA,36,6,7,.857,0,2,6,1,1,22
Thaddeus Young,Ind,SF,"",STIP,37,1,2,.500,2,7,1,2,0,21
Kawhi Leonard,SA,SF,"",STIP,36,11,13,.846,0,5,4,5,0,21
Norman Powell,Tor,SG,"","",27,6,7,.857,1,3,1,5,0,21
Kristaps Porzingis,NY,PF,"",SANF,33,3,4,.750,4,8,1,0,3,21
Myles Turner,Ind,PF,"",WEIS,32,7,8,.875,2,9,1,1,4,21
Serge Ibaka,Orl,PF,"",STIP,40,0,0,.000,4,9,2,1,1,20
Mike Conley,Mem,PG,"",BCOH,36,4,6,.667,3,5,8,2,0,19
Goran Dragic,Mia,PG,"",BOYD,45,4,6,.667,3,4,5,0,0,19
Rondae Hollis-Jefferson,Bkn,SF,"","",20,2,3,.667,1,6,3,1,1,19
Al Jefferson,Ind,C,"","",16,2,2,1.000,0,3,0,0,0,18
LaMarcus Aldridge,SA,PF,"",WEIS,36,5,6,.833,0,10,5,0,1,17
Al Horford,Bos,C,"",JCOH,40,0,1,.000,1,14,3,0,1,17
Danilo Gallinari,Den,SF,"",LEED,32,1,2,.500,4,5,2,0,0,17
DeMarre Carroll,Tor,SF,"","",22,0,0,.000,3,3,0,2,0,17
Jeff Teague,Ind,PG,"",STIP,37,7,9,.778,0,7,12,1,1,17
Klay Thompson,GS,SG,"",JLEE,31,0,0,.000,1,5,1,1,0,17
Terrence Jones,Nor,PF,"","",30,5,8,.625,0,10,3,0,0,17
Trevor Ariza,Hou,SF,"",JLEE,35,1,2,.500,3,6,2,4,1,16
Chris Paul,LAC,PG,"",AUST,26,0,0,.000,2,8,15,1,0,16
Louis Williams,LAL,PG,"",FERA,28,5,6,.833,1,2,8,2,1,16
Ty Lawson,Sac,PG,"","",29,4,4,1.000,0,2,8,1,0,16
Avery Bradley,Bos,SG,DTD,LEED,38,5,6,.833,1,3,3,1,1,16
Paul George,Ind,SF,"",JLEE,36,4,4,1.000,0,5,3,2,0,16
Channing Frye,Cle,PF,"","",25,2,2,1.000,3,3,2,0,0,15
Marvin Williams,Cha,SF,"",SANF,30,2,2,1.000,1,5,2,0,0,15
DeMar DeRozan,Tor,SG,"",BOYD,29,3,4,.750,0,1,2,1,0,15
Kenneth Faried,Den,PF,"","",27,5,6,.833,0,11,1,1,0,15
E'Twaun Moore,Nor,SG,"","",18,1,1,1.000,2,0,2,0,0,15
Draymond Green,GS,SF,"",BCOH,31,1,2,.500,2,11,4,5,0,15
D'Angelo Russell,LAL,PG,"",LEED,26,2,2,1.000,1,5,5,0,2,15
Joe Johnson,Uta,SG,"","",22,2,2,1.000,2,2,0,0,0,14
Jeff Green,Orl,SF,"","",32,6,6,1.000,0,3,1,1,0,14
Luc Mbah a Moute,LAC,SF,"","",31,3,3,1.000,1,3,1,0,1,14
Ersan Ilyasova,Phi,PF,"",JCOH,26,2,2,1.000,2,4,0,0,1,14
John Henson,Mil,PF,"",SANF,27,4,6,.667,0,8,1,2,1,14
Spencer Dinwiddie,Bkn,PG,"","",22,6,7,.857,0,4,1,0,1,14
Marco Belinelli,Cha,SG,"","",33,2,3,.667,3,2,2,0,1,13
Wilson Chandler,Den,SF,"",JLEE,28,2,4,.500,1,4,3,0,0,13
Eric Gordon,Hou,SG,DTD,LEED,33,4,4,1.000,1,1,4,0,2,13
DeAndre Jordan,LAC,C,"",FERA,29,1,1,1.000,0,13,2,0,1,13
Gerald Henderson,Phi,SG,"","",27,4,4,1.000,3,3,1,0,1,13
Patty Mills,SA,PG,"",BCOH,24,0,0,.000,3,0,1,2,0,13
Jae Crowder,Bos,SF,"",WEIS,40,6,6,1.000,1,7,2,0,0,13
Justise Winslow*,Mia,SG,O,SANF,46,1,1,1.000,0,5,2,0,0,13
Manu Ginobili,SA,SG,"","",20,0,2,.000,4,4,3,3,0,12
Jrue Holiday,Nor,PG,"",BOYD,30,3,4,.750,1,4,9,0,0,12
James Johnson,Mia,SF,"","",28,0,0,.000,2,8,6,0,0,12
Danny Green,SA,SG,"","",34,0,0,.000,4,3,2,2,1,12
Jeremy Lin*,Bkn,PG,O,JCOH,25,2,4,.500,2,2,4,1,1,12
Aaron Gordon,Orl,PF,"","",28,3,4,.750,1,5,1,0,0,12
Luol Deng,LAL,SF,"","",34,0,0,.000,1,7,1,0,3,11
C.J. Miles,Ind,SF,"","",26,5,6,.833,2,7,0,2,0,11
Arron Afflalo,Sac,SG,"","",31,2,3,.667,1,1,1,0,0,11
Joakim Noah,NY,C,"","",30,3,4,.750,0,11,2,0,2,11
Anthony Tolliver,Sac,PF,"","",34,2,2,1.000,3,4,0,0,0,11
Trevor Booker,Bkn,PF,DTD,WEIS,20,2,2,1.000,1,5,2,1,0,11
Cory Joseph,Tor,PG,"","",26,2,3,.667,1,7,4,0,0,11
Maurice Harkless,Por,SF,"",AUST,24,1,3,.333,0,10,0,1,1,11
Robert Covington,Phi,PF,"",JLEE,34,1,2,.500,2,8,2,0,2,11
Cody Zeller,Cha,PF,DTD,"",25,3,4,.750,0,5,2,2,0,11
Rudy Gobert,Uta,C,"",SANF,31,1,3,.333,0,16,1,0,2,11
