player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Karl-Anthony Towns,Min,C,"",AUST,36.0,5.3,6.3,.840,2.3,11.3,3.3,1.0,2.0,21.0
Russell Westbrook,OKC,PG,"",FERA,36.3,6.7,9.0,.741,1.7,9.7,8.0,2.0,0.0,26.3
LeBron James,Cle,SF,"",BCOH,35.3,8.0,10.0,.800,1.0,7.7,11.3,1.0,0.3,33.0
Anthony Davis,Nor,PF,"",LEED,34.3,6.8,8.0,.844,1.0,9.5,1.3,1.5,3.3,30.8
James Harden,Hou,SG,DTD,SANF,33.3,7.8,10.0,.775,2.3,7.5,8.8,1.3,0.8,27.0
Giannis Antetokounmpo,Mil,SF,"",BOYD,27.5,3.0,4.0,.750,1.5,6.0,2.5,1.0,1.5,18.5
Damian Lillard,Por,PG,"",JLEE,37.7,8.3,8.3,1.000,1.7,4.7,6.3,1.3,0.0,23.3
Paul George,OKC,SF,"",LEED,38.7,5.0,5.3,.938,1.7,6.7,2.3,1.3,0.3,17.3
DeMar DeRozan,Tor,SG,"",WEIS,34.0,6.3,8.0,.792,0.0,2.3,5.0,0.0,0.0,17.7
Bradley Beal,Wsh,SG,"",STIP,36.7,1.3,1.7,.800,3.0,2.3,2.7,0.7,0.0,19.7
Joel Embiid,Phi,C,"",JLEE,22.8,6.0,7.0,.857,0.5,8.8,2.8,0.8,1.8,17.5
Kemba Walker,Cha,PG,"",JCOH,34.5,7.0,7.0,1.000,4.8,3.0,4.8,1.5,0.3,31.3
Nikola Jokic,Den,PF,"",BOYD,30.7,2.7,3.0,.889,2.0,7.3,4.7,0.3,0.7,20.0
Chris Paul*,Hou,PG,O,WEIS,32.0,5.0,6.0,.833,5.0,8.0,6.0,0.0,0.0,22.0
CJ McCollum,Por,PG,"",STIP,36.3,0.7,1.0,.667,2.0,4.3,3.7,1.0,0.0,22.7
Draymond Green,GS,SF,DTD,JCOH,--,--,--,--,--,--,--,--,--,--
Kyle Lowry,Tor,PG,"",AUST,36.3,2.5,2.5,1.000,5.3,6.3,8.8,0.3,0.0,21.3
Blake Griffin,Det,PF,"",SANF,31.0,2.0,2.8,.727,2.0,7.0,8.0,0.5,0.3,18.0
Kevin Durant*,GS,SF,O,JCOH,--,--,--,--,--,--,--,--,--,--
Marc Gasol,Mem,C,"",WEIS,30.7,2.7,3.0,.889,1.7,7.0,4.3,1.3,1.3,14.3
Ben Simmons,Phi,PF,"",WEIS,29.0,1.8,3.3,.538,0.0,10.8,10.8,1.8,0.5,10.3
Khris Middleton,Mil,SF,"",FERA,36.3,2.3,2.3,1.000,2.3,4.7,5.3,3.3,0.7,19.3
LaMarcus Aldridge,SA,PF,DTD,WEIS,34.7,6.3,7.7,.826,0.3,8.3,2.7,0.7,2.0,35.3
DeAndre Jordan,LAC,C,"",BCOH,33.3,3.5,5.8,.609,0.0,14.8,2.3,0.3,0.5,16.5
Andre Drummond,Det,C,"",WEIS,36.0,3.8,5.8,.652,0.0,17.0,1.8,1.5,2.8,14.3
Devin Booker*,Pho,SG,O,BOYD,--,--,--,--,--,--,--,--,--,--
Kevin Love,Cle,PF,DTD,AUST,31.0,4.0,4.3,.923,3.0,11.0,3.3,1.3,0.0,21.0
Victor Oladipo,Ind,SG,"",LEED,37.3,5.3,6.0,.889,2.7,5.3,4.0,2.0,0.7,20.7
Otto Porter Jr.,Wsh,SF,"",FERA,31.7,0.7,1.3,.500,2.0,7.7,3.0,1.3,0.7,12.7
Al Horford,Bos,C,"",BOYD,32.3,1.0,1.5,.667,1.8,5.8,6.0,0.3,1.5,12.3
Andrew Wiggins,Min,SG,"",FERA,37.5,3.8,5.3,.714,1.8,7.3,2.0,1.3,0.8,19.5
Rudy Gobert,Utah,C,"",BCOH,35.5,3.5,4.3,.824,0.0,11.5,1.5,1.0,2.8,14.0
Carmelo Anthony,OKC,SF,"",SANF,31.3,1.0,1.7,.600,0.7,6.3,1.7,0.3,0.7,8.3
Myles Turner,Ind,PF,"",FERA,35.0,4.3,5.0,.867,0.0,6.7,1.7,1.0,1.7,9.0
Jrue Holiday,Nor,PG,"",SANF,32.3,0.7,2.3,.286,0.7,3.7,5.0,1.3,0.3,15.3
Eric Bledsoe,Mil,PG,"",AUST,29.3,4.0,6.0,.667,1.0,3.3,5.7,0.7,0.7,18.3
Clint Capela,Hou,C,DTD,WEIS,27.3,0.3,1.8,.143,0.0,11.0,1.5,1.3,2.3,11.8
Dwight Howard,Cha,C,"",LEED,34.3,7.7,12.7,.605,0.0,22.0,1.3,0.0,0.3,24.3
Klay Thompson*,GS,SG,O,LEED,--,--,--,--,--,--,--,--,--,--
Dennis Schroder,Atl,PG,DTD,AUST,32.0,3.0,6.0,.500,1.5,4.0,7.0,0.5,0.0,28.5
Hassan Whiteside*,Mia,PF,O,STIP,--,--,--,--,--,--,--,--,--,--
Tobias Harris,LAC,PF,"",JCOH,33.3,1.8,2.0,.875,1.8,5.3,2.0,0.5,0.8,16.5
Nikola Vucevic,Orl,C,"",LEED,30.0,0.7,0.7,1.000,0.7,8.0,2.3,1.7,0.3,15.3
Goran Dragic,Mia,PG,"",JCOH,30.7,2.7,2.7,1.000,1.0,3.3,5.3,1.0,0.0,14.3
Jeff Teague,Min,PG,"",SANF,33.5,4.5,4.8,.947,0.5,1.8,7.8,0.5,0.0,14.5
Harrison Barnes,Dal,SF,"",FERA,34.3,1.0,1.3,.750,3.7,5.0,2.0,0.3,0.0,19.3
Donovan Mitchell,Utah,SG,"",LEED,38.0,3.0,4.0,.750,2.5,4.0,4.3,2.5,0.3,26.5
Stephen Curry*,GS,PG,O,JCOH,25.0,6.0,6.0,1.000,3.0,7.0,1.0,0.0,1.0,29.0
