player_name,player_team,position,injury_status,league_team,minutes,free_throws_made,free_throws_attempted,free_throw_percentage,three_pointer,rebounds,assists,steals,blocks,points
Russell Westbrook,OKC,PG,"",LEED,31.3,7.3,9.3,.784,1.0,10.3,7.8,1.8,0.0,24.3
James Harden,Hou,SG,"",WEIS,37.0,11.3,12.3,.918,4.3,11.0,12.0,2.0,0.5,35.0
Anthony Davis,Nor,PF,"",JLEE,37.0,3.0,5.3,.563,0.0,13.3,1.7,2.0,1.7,21.0
Kevin Durant,GS,SF,"",FERA,35.7,2.0,3.0,.667,2.0,10.3,6.3,0.3,2.0,20.7
DeMarcus Cousins,Sac,C,"",SANF,36.5,10.5,11.5,.913,1.5,6.0,7.0,3.5,0.5,27.0
Giannis Antetokounmpo,Mil,SF,"",STIP,37.3,5.5,8.0,.688,0.8,7.8,6.3,1.5,2.3,27.3
Stephen Curry,GS,PG,"",BOYD,33.7,3.7,3.7,1.000,3.0,4.7,5.7,0.3,0.0,21.3
LeBron James,Cle,SF,DTD,WEIS,39.7,5.0,7.7,.652,2.0,7.0,8.7,1.3,1.3,27.0
Karl-Anthony Towns,Min,C,"",JCOH,35.7,3.0,3.7,.818,0.3,13.3,6.3,0.3,1.7,14.7
Kawhi Leonard,SA,SF,"",STIP,28.0,6.0,7.0,.857,1.0,4.0,2.0,1.0,1.0,13.0
Jimmy Butler,Chi,SG,"",BOYD,38.0,12.8,14.8,.864,1.0,9.0,5.3,2.8,0.3,35.8
John Wall,Wsh,PG,"",JCOH,36.0,6.0,6.7,.900,1.0,6.0,11.7,2.7,0.3,24.3
Damian Lillard*,Por,PG,O,AUST,--,--,--,--,--,--,--,--,--,--
Chris Paul*,LAC,PG,O,AUST,31.0,5.0,5.0,1.000,2.0,8.0,6.0,1.0,0.0,21.0
Paul George,Ind,SF,"",JLEE,35.0,7.7,8.0,.958,4.0,4.0,2.7,1.0,0.0,28.3
Draymond Green,GS,SF,"",BCOH,33.7,1.3,2.0,.667,1.3,8.0,10.0,0.7,0.7,14.0
Klay Thompson,GS,SG,"",JLEE,36.0,1.7,1.7,1.000,4.7,5.0,1.7,0.7,1.3,25.0
DeMar DeRozan,Tor,SG,"",BOYD,36.3,9.3,11.0,.848,0.0,3.0,3.7,1.3,0.7,28.0
Kyrie Irving,Cle,PG,DTD,FERA,42.0,6.0,7.0,.857,2.0,5.0,12.0,3.0,0.0,32.0
Hassan Whiteside,Mia,PF,DTD,BCOH,32.7,1.7,2.7,.625,0.0,8.7,0.7,1.0,1.0,10.3
Blake Griffin*,LAC,PF,O,BOYD,--,--,--,--,--,--,--,--,--,--
Kyle Lowry,Tor,PG,"",SANF,39.0,7.3,8.3,.880,4.7,6.7,7.7,1.3,0.3,30.7
Andre Drummond,Det,C,"",LEED,32.3,2.7,6.3,.421,0.0,14.0,0.3,1.3,1.0,18.7
Kevin Love,Cle,PF,DTD,SANF,32.3,4.7,5.0,.933,3.3,12.0,1.7,1.0,0.0,23.3
Carmelo Anthony,NY,SF,"",WEIS,27.3,4.5,5.5,.818,0.5,6.5,2.5,1.0,0.3,15.5
Isaiah Thomas,Bos,PG,"",LEED,35.0,11.3,11.3,1.000,4.0,2.0,5.3,1.0,0.0,34.7
Kemba Walker,Cha,PG,"",JCOH,33.5,3.8,3.8,1.000,3.8,6.5,4.5,0.5,0.3,28.5
C.J. McCollum,Por,PG,"",STIP,35.7,7.3,8.0,.917,2.0,3.0,3.7,1.7,0.3,30.7
Kristaps Porzingis,NY,PF,DTD,SANF,40.0,5.5,7.0,.786,2.0,10.0,2.0,1.5,2.5,22.5
DeAndre Jordan,LAC,C,"",FERA,31.8,2.3,5.0,.450,0.0,17.3,1.5,0.0,2.3,12.8
LaMarcus Aldridge,SA,PF,"",WEIS,35.0,4.3,5.0,.867,0.3,9.0,1.7,0.3,1.7,20.7
Paul Millsap,Atl,PF,"",FERA,41.7,5.7,7.3,.773,1.7,8.7,4.7,1.0,1.0,23.3
Eric Bledsoe,Pho,PG,"",BCOH,34.0,3.0,3.5,.857,1.0,5.8,7.5,1.5,0.5,19.0
Marc Gasol,Mem,C,"",BCOH,30.7,4.7,5.7,.824,1.0,4.7,4.3,1.0,2.7,17.7
Andrew Wiggins,Min,SG,"",FERA,37.7,5.0,8.0,.625,1.0,5.0,2.7,1.3,0.0,26.7
